iter	RMSE
0	0.3007805274
1	0.3000094726
2	0.2991143797
3	0.2982434098
4	0.2976233657
5	0.2968172738
6	0.2958978605
7	0.2954532952
8	0.2947758335
9	0.2943016261
10	0.2936070982
11	0.293044561
12	0.2925734337
13	0.2923213633
14	0.2919069352
15	0.2914681028
16	0.2912057196
17	0.2906139211
18	0.2902570374
19	0.289815127
20	0.2893342702
21	0.2889439895
22	0.2885958394
23	0.2883679704
24	0.2879004671
25	0.2875887345
26	0.2873311553
27	0.2872311213
28	0.2868978045
29	0.2866074406
30	0.2862382123
31	0.2858846489
32	0.2855195015
33	0.2852976582
34	0.2850217995
35	0.2847440464
36	0.2844602445
37	0.2841820318
38	0.2838297532
39	0.2835274523
40	0.2833937611
41	0.2832233312
42	0.2829620103
43	0.2826885458
44	0.2825097304
45	0.2822827053
46	0.2820729209
47	0.2818477907
48	0.2816390801
49	0.2813907691
50	0.281130459
51	0.2808907337
52	0.2807301266
53	0.2805512381
54	0.280348696
55	0.280256623
56	0.2800867281
57	0.2798276609
58	0.2796546293
59	0.2794696571
60	0.2792242711
61	0.2790560838
62	0.2788146461
63	0.2786852035
64	0.2784407046
65	0.2783439896
66	0.2781277735
67	0.2778804057
68	0.2777029294
69	0.2774976616
70	0.2773525186
71	0.2771302063
72	0.2769244902
73	0.2767350984
74	0.2765054009
75	0.2763075795
76	0.2761287067
77	0.2759251838
78	0.2757471465
79	0.2755516957
80	0.2754122318
81	0.2752332442
82	0.2750459728
83	0.2748582772
84	0.274705886
85	0.2745307385
86	0.2743520879
87	0.274159087
88	0.2739429796
89	0.2737663154
90	0.2735880525
91	0.2734386404
92	0.2732610223
93	0.2730873318
94	0.2729421927
95	0.2728242645
96	0.2726695459
97	0.272519893
98	0.272363623
99	0.272210508
100	0.2720321785
101	0.2718663223
102	0.271689225
103	0.2715197205
104	0.2713560754
105	0.2712310074
106	0.2711242666
107	0.2709708942
108	0.2708239535
109	0.2706718067
110	0.2705051216
111	0.2703660283
112	0.2702244719
113	0.2700835697
114	0.2699330545
115	0.2697850663
116	0.2696266428
117	0.2694993663
118	0.269361925
119	0.2692475972
120	0.2690907742
121	0.2689444135
122	0.2688269996
123	0.2686925385
124	0.2685480941
125	0.2683965038
126	0.2682471545
127	0.2681327247
128	0.2679806301
129	0.2678387723
130	0.2677058098
131	0.2675788854
132	0.267439126
133	0.2673117618
134	0.2671720467
135	0.2670391762
136	0.2669054355
137	0.2667655394
138	0.2666241276
139	0.2665377424
140	0.2664122292
141	0.2662672172
142	0.266151593
143	0.2660189632
144	0.2658963307
145	0.2657530512
146	0.2656482627
147	0.2655127634
148	0.2653989759
149	0.2652839679
150	0.2651451093
151	0.2650334318
152	0.2649134231
153	0.264806512
154	0.2646777127
155	0.2645939224
156	0.2644861055
157	0.2643893961
158	0.2642598444
159	0.2641475503
160	0.2640381208
161	0.2639179272
162	0.2638305996
163	0.2637226046
164	0.2636081687
165	0.2634966764
166	0.2633786218
167	0.2633074119
168	0.2631876689
169	0.2630708241
170	0.2629742754
171	0.2628635582
172	0.2627544153
173	0.2626466748
174	0.2625459348
175	0.2624596162
176	0.2623496686
177	0.2622375543
178	0.2621663711
179	0.2620453655
180	0.2619419644
181	0.261862205
182	0.2617808873
183	0.2616738851
184	0.2615490089
185	0.2614507748
186	0.2613475972
187	0.2612375673
188	0.2611345541
189	0.261029033
190	0.2609413476
191	0.2608202149
192	0.2607314298
193	0.2606288824
194	0.2605518747
195	0.2604676975
196	0.2603921751
197	0.2602953545
198	0.2601936175
199	0.260105456
