iter	Passed	Remaining
0	143	28595
1	147	14620
2	152	9984
3	156	7683
4	161	6307
5	166	5397
6	172	4747
7	177	4256
8	182	3874
9	187	3570
10	193	3323
11	198	3113
12	203	2932
13	209	2786
14	214	2648
15	220	2535
16	225	2429
17	230	2334
18	236	2250
19	241	2174
20	246	2103
21	252	2040
22	257	1979
23	262	1927
24	268	1881
25	274	1835
26	279	1789
27	284	1745
28	288	1702
29	293	1664
30	298	1627
31	303	1593
32	308	1559
33	312	1527
34	318	1499
35	323	1473
36	328	1449
37	334	1425
38	339	1402
39	344	1378
40	349	1356
41	354	1334
42	359	1313
43	364	1293
44	370	1274
45	375	1257
46	380	1239
47	385	1221
48	390	1203
49	395	1187
50	400	1171
51	406	1156
52	411	1141
53	416	1126
54	421	1111
55	426	1096
56	431	1081
57	436	1067
58	441	1053
59	445	1040
60	451	1028
61	456	1015
62	461	1003
63	466	991
64	471	979
65	476	967
66	482	956
67	487	945
68	492	934
69	497	923
70	502	912
71	507	902
72	512	891
73	517	881
74	522	871
75	527	861
76	532	850
77	537	840
78	541	830
79	547	820
80	552	811
81	557	802
82	562	792
83	567	783
84	572	773
85	577	764
86	581	755
87	586	746
88	591	738
89	597	730
90	602	722
91	607	713
92	612	704
93	617	696
94	622	687
95	627	679
96	632	671
97	638	664
98	643	656
99	649	649
100	654	641
101	659	633
102	664	626
103	669	618
104	675	610
105	680	603
106	685	595
107	691	588
108	696	581
109	701	573
110	706	566
111	711	558
112	716	551
113	721	544
114	726	537
115	731	529
116	736	522
117	741	515
118	747	508
119	752	501
120	757	494
121	762	487
122	766	480
123	772	473
124	777	466
125	782	459
126	787	452
127	792	445
128	797	438
129	802	432
130	808	425
131	813	418
132	818	412
133	823	405
134	829	399
135	834	392
136	840	386
137	845	379
138	851	373
139	856	367
140	864	361
141	873	356
142	879	350
143	886	344
144	893	338
145	899	332
146	905	326
147	911	320
148	916	313
149	922	307
150	928	301
151	933	294
152	939	288
153	945	282
154	950	276
155	956	269
156	962	263
157	967	257
158	974	251
159	979	244
160	984	238
161	990	232
162	995	225
163	1000	219
164	1006	213
165	1012	207
166	1017	201
167	1023	194
168	1028	188
169	1034	182
170	1039	176
171	1044	170
172	1050	163
173	1056	157
174	1061	151
175	1067	145
176	1072	139
177	1077	133
178	1082	127
179	1088	120
180	1093	114
181	1098	108
182	1103	102
183	1108	96
184	1114	90
185	1120	84
186	1125	78
187	1130	72
188	1135	66
189	1141	60
190	1146	54
191	1152	48
192	1158	42
193	1163	35
194	1169	29
195	1174	23
196	1180	17
197	1187	11
198	1193	5
199	1199	0
